"","Current","Current.1","Current.2"
"epi1",-10296.8133223369,NA,-11343.3830812511
"epi2",-5830.07776121123,NA,-7275.93948739772
"epi3",-3212.58524875789,NA,-4144.46995623457
"epi4",-1580.87148338706,NA,-2281.82969160137
"epi5",-616.546592387723,NA,-1154.23576782104
"epi6",48.3703583098817,NA,-263.214094903931
"epi7",945.159853132711,NA,1216.58317604002
"epi8",3314.72757636872,NA,4870.48309452611
"epi9",9706.45081034655,NA,12956.1149142126
"epi10",20965.8800394144,NA,25624.5711549685
"epi11",35263.7307097484,NA,41018.0028116273
